79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/dwr/interface/Folders.js?ox=6.4.2 HTTP/1.1" 200 235
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/dwr/interface/View.js?ox=6.4.2 HTTP/1.1" 200 540
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/dwr/interface/Tab.js?ox=6.4.2 HTTP/1.1" 200 992
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 750
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "POST /formes/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1197
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /favicon.ico HTTP/1.1" 404 610
79.150.233.11 - - [17/Jan/2021:11:32:05 +0100] "POST /formes/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 26500
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/m/Producto?init=true HTTP/1.1" 200 11852
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/dwr/interface/Modules.js?ox=6.4.2 HTTP/1.1" 200 970
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/dwr/interface/Folders.js?ox=6.4.2 HTTP/1.1" 200 235
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/dwr/interface/Tab.js?ox=6.4.2 HTTP/1.1" 200 992
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/dwr/interface/View.js?ox=6.4.2 HTTP/1.1" 200 540
79.150.233.11 - - [17/Jan/2021:11:32:07 +0100] "GET /formes/dwr/interface/Module.js?ox=6.4.2 HTTP/1.1" 200 1286
79.150.233.11 - - [17/Jan/2021:11:32:08 +0100] "GET /formes/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 750
79.150.233.11 - - [17/Jan/2021:11:32:08 +0100] "POST /formes/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1197
79.150.233.11 - - [17/Jan/2021:11:32:08 +0100] "POST /formes/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 342990
